Run	Real_ratio	Feature	Breakpoint_region_bp	Non_breakpoint_region_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Shuffled_ratio	Above	Same	Below
0	1.1842	CDS	45384	30314587	15709	34.61	8860625	29.23	1.1842	0	0	0	
0	1.3019	DNAseI_hypersensitive_site	45384	30314587	7737	17.05	3969589	13.09	1.3019	0	0	0	
0	0.0000	DNA_replication_origin	45384	30314587	0	0.00	1060390	3.50	0.0000	0	0	0	
0	1.1536	exon	45384	30314587	21731	47.88	12583152	41.51	1.1536	0	0	0	
0	1.5011	five_prime_UTR	45384	30314587	1904	4.20	847223	2.79	1.5011	0	0	0	
0	1.2893	gene	45384	30314587	30832	67.94	15972937	52.69	1.2893	0	0	0	
0	1.1736	mRNA	45384	30314587	30832	67.94	17547593	57.88	1.1736	0	0	0	
0	0.0000	miRNA	45384	30314587	0	0.00	9336	0.03	0.0000	0	0	0	
0	0.0000	ncRNA	45384	30314587	0	0.00	183696	0.61	0.0000	0	0	0	
0	1.2076	protein	45384	30314587	24542	54.08	13575237	44.78	1.2076	0	0	0	
0	0.0000	pseudogene	45384	30314587	0	0.00	225503	0.74	0.0000	0	0	0	
0	0.0000	pseudogenic_exon	45384	30314587	0	0.00	207487	0.68	0.0000	0	0	0	
0	0.0000	pseudogenic_transcript	45384	30314587	0	0.00	225503	0.74	0.0000	0	0	0	
0	0.5646	satellite	45384	30314587	1608	3.54	1902314	6.28	0.5646	0	0	0	
0	0.0000	snoRNA	45384	30314587	0	0.00	2174	0.01	0.0000	0	0	0	
0	0.0000	tRNA	45384	30314587	0	0.00	15340	0.05	0.0000	0	0	0	
0	2.1291	three_prime_UTR	45384	30314587	4187	9.23	1313557	4.33	2.1291	0	0	0	
0	0.3110	transposable_element	45384	30314587	2360	5.20	5068885	16.72	0.3110	0	0	0	
0	0.0000	transposable_element_gene	45384	30314587	0	0.00	1698410	5.60	0.0000	0	0	0	
0	0.3191	transposon_fragment	45384	30314587	2360	5.20	4940017	16.30	0.3191	0	0	0	
0	1.5030	open_chromatin_state_1	45384	30314587	7740	17.05	3439860	11.35	1.5030	0	0	0	
0	1.7930	open_chromatin_state_2	45384	30314587	8284	18.25	3086030	10.18	1.7930	0	0	0	
0	1.3811	open_chromatin_state_3	45384	30314587	6438	14.19	3113712	10.27	1.3811	0	0	0	
0	0.8050	open_chromatin_state_4	45384	30314587	5737	12.64	4760213	15.70	0.8050	0	0	0	
0	0.5515	open_chromatin_state_5	45384	30314587	3645	8.03	4414755	14.56	0.5515	0	0	0	
0	1.3867	open_chromatin_state_6	45384	30314587	6852	15.10	3300498	10.89	1.3867	0	0	0	
0	0.5888	open_chromatin_state_7	45384	30314587	2755	6.07	3125195	10.31	0.5888	0	0	0	
0	0.9424	open_chromatin_state_8	45384	30314587	3382	7.45	2397068	7.91	0.9424	0	0	0	
