Run	Real_ratio	Bp	Feature	Breakpoint_region_bp	Non_breakpoint_region_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Shuffled_ratio	Above	Same	Below
0	2.0999	5000	DNA_replication_origin	204777	30195475	14889	7.27	1045501	3.46	2.0999	0	0	0	
0	1.0192	5000	DNAseI_hypersensitive_site	204777	30195475	27340	13.35	3955462	13.10	1.0192	0	0	0	
0	1.0986	5000	gene	204777	30195475	118502	57.87	15905955	52.68	1.0986	0	0	0	
0	0.9511	5000	open_chromatin_state_1	204777	30195475	22138	10.81	3432362	11.37	0.9511	0	0	0	
0	1.6352	5000	open_chromatin_state_2	204777	30195475	34008	16.61	3066642	10.16	1.6352	0	0	0	
0	1.0817	5000	open_chromatin_state_3	204777	30195475	22742	11.11	3100108	10.27	1.0817	0	0	0	
0	1.0706	5000	open_chromatin_state_4	204777	30195475	34445	16.82	4743955	15.71	1.0706	0	0	0	
0	1.0293	5000	open_chromatin_state_5	204777	30195475	30657	14.97	4391793	14.54	1.0293	0	0	0	
0	0.9500	5000	open_chromatin_state_6	204777	30195475	21200	10.35	3290570	10.90	0.9500	0	0	0	
0	0.9598	5000	open_chromatin_state_7	204777	30195475	20245	9.89	3110255	10.30	0.9598	0	0	0	
0	0.8101	5000	open_chromatin_state_8	204777	30195475	13116	6.41	2387334	7.91	0.8101	0	0	0	
0	0.3437	5000	open_chromatin_state_9	204777	30195475	6226	3.04	2670974	8.85	0.3437	0	0	0	
0	0.0000	5000	pseudogene	204777	30195475	0	0.00	225503	0.75	0.0000	0	0	0	
0	0.7351	5000	satellite	204777	30195475	9452	4.62	1896127	6.28	0.7351	0	0	0	
0	0.6469	5000	transposable_element	204777	30195475	22155	10.82	5050175	16.72	0.6469	0	0	0	
1	2.0999	5000	DNA_replication_origin	230000	30170252	19338	8.41	1041052	3.45	2.4366	1	0	0	
1	1.0192	5000	DNAseI_hypersensitive_site	230000	30170252	34925	15.18	3947877	13.09	1.1604	1	0	0	
1	1.0986	5000	gene	230000	30170252	124261	54.03	15900196	52.70	1.0251	0	0	1	*****
1	0.9511	5000	open_chromatin_state_1	230000	30170252	29235	12.71	3425265	11.35	1.1196	1	0	0	*****
1	1.6352	5000	open_chromatin_state_2	230000	30170252	22816	9.92	3077834	10.20	0.9724	0	0	1	*****
1	1.0817	5000	open_chromatin_state_3	230000	30170252	19273	8.38	3103577	10.29	0.8146	0	0	1	*****
1	1.0706	5000	open_chromatin_state_4	230000	30170252	40802	17.74	4737598	15.70	1.1297	1	0	0	
1	1.0293	5000	open_chromatin_state_5	230000	30170252	36456	15.85	4385994	14.54	1.0903	1	0	0	
1	0.9500	5000	open_chromatin_state_6	230000	30170252	27853	12.11	3283917	10.88	1.1126	1	0	0	*****
