Run	Real_ratio	Bp	Feature	Breakpoint_region_bp	Non_breakpoint_region_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Shuffled_ratio	Above	Same	Below
0	2.3177	10000	DNA_replication_origin	385791	30014461	30676	7.95	1029714	3.43	2.3177	0	0	0	
0	1.0376	10000	DNAseI_hypersensitive_site	385791	30014461	52417	13.59	3930385	13.09	1.0376	0	0	0	
0	1.1333	10000	gene	385791	30014461	230075	59.64	15794382	52.62	1.1333	0	0	0	
0	0.8941	10000	open_chromatin_state_1	385791	30014461	39248	10.17	3415252	11.38	0.8941	0	0	0	
0	1.5798	10000	open_chromatin_state_2	385791	30014461	61707	15.99	3038943	10.12	1.5798	0	0	0	
0	1.1646	10000	open_chromatin_state_3	385791	30014461	46056	11.94	3076794	10.25	1.1646	0	0	0	
0	0.9800	10000	open_chromatin_state_4	385791	30014461	59440	15.41	4718960	15.72	0.9800	0	0	0	
0	1.1415	10000	open_chromatin_state_5	385791	30014461	63951	16.58	4358499	14.52	1.1415	0	0	0	
0	0.9783	10000	open_chromatin_state_6	385791	30014461	41129	10.66	3270641	10.90	0.9783	0	0	0	
0	1.0610	10000	open_chromatin_state_7	385791	30014461	42119	10.92	3088381	10.29	1.0610	0	0	0	
0	0.6158	10000	open_chromatin_state_8	385791	30014461	18850	4.89	2381600	7.93	0.6158	0	0	0	
0	0.3882	10000	open_chromatin_state_9	385791	30014461	13291	3.45	2663909	8.88	0.3882	0	0	0	
0	0.2367	10000	pseudogene	385791	30014461	684	0.18	224819	0.75	0.2367	0	0	0	
0	0.7596	10000	satellite	385791	30014461	18425	4.78	1887154	6.29	0.7596	0	0	0	
0	0.6401	10000	transposable_element	385791	30014461	41393	10.73	5030937	16.76	0.6401	0	0	0	
1	2.3177	10000	DNA_replication_origin	460000	29940252	4971	1.08	1055419	3.53	0.3066	0	0	1	*****
1	1.0376	10000	DNAseI_hypersensitive_site	460000	29940252	64729	14.07	3918073	13.09	1.0753	1	0	0	
1	1.1333	10000	gene	460000	29940252	245872	53.45	15778585	52.70	1.0142	0	0	1	*****
1	0.8941	10000	open_chromatin_state_1	460000	29940252	57098	12.41	3397402	11.35	1.0939	1	0	0	*****
1	1.5798	10000	open_chromatin_state_2	460000	29940252	53066	11.54	3047584	10.18	1.1333	0	0	1	*****
1	1.1646	10000	open_chromatin_state_3	460000	29940252	54427	11.83	3068423	10.25	1.1545	0	0	1	*****
1	0.9800	10000	open_chromatin_state_4	460000	29940252	96329	20.94	4682071	15.64	1.3391	1	0	0	*****
1	1.1415	10000	open_chromatin_state_5	460000	29940252	51468	11.19	4370982	14.60	0.7664	0	0	1	*****
1	0.9783	10000	open_chromatin_state_6	460000	29940252	38735	8.42	3273035	10.93	0.7703	0	0	1	
1	1.0610	10000	open_chromatin_state_7	460000	29940252	46575	10.12	3083925	10.30	0.9830	0	0	1	*****
1	0.6158	10000	open_chromatin_state_8	460000	29940252	38170	8.30	2362280	7.89	1.0517	1	0	0	*****
1	0.3882	10000	open_chromatin_state_9	460000	29940252	24132	5.25	2653068	8.86	0.5920	1	0	0	*****
1	0.2367	10000	pseudogene	460000	29940252	1706	0.37	223797	0.75	0.4962	1	0	0	*****
1	0.7596	10000	satellite	460000	29940252	29699	6.46	1875880	6.27	1.0305	1	0	0	*****
1	0.6401	10000	transposable_element	460000	29940252	79926	17.38	4992404	16.67	1.0420	1	0	0	*****
2	2.3177	10000	DNA_replication_origin	460000	29940252	12468	2.71	1047922	3.50	0.7744	0	0	2	*****
2	1.0376	10000	DNAseI_hypersensitive_site	460000	29940252	55967	12.17	3926835	13.12	0.9277	1	0	1	
2	1.1333	10000	gene	460000	29940252	242624	52.74	15781833	52.71	1.0006	0	0	2	*****
