Run	Real_ratio	Bp	Feature	Breakpoint_region_bp	Non_breakpoint_region_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Shuffled_ratio	Above	Same	Below
0	1.1372	100	CDS	8957	30350564	2978	33.25	8873356	29.24	1.1372	0	0	0	
0	0.9589	100	DNA_replication_origin	8957	30350564	300	3.35	1060090	3.49	0.9589	0	0	0	
0	1.4907	100	DNAseI_hypersensitive_site	8957	30350564	1749	19.53	3975577	13.10	1.4907	0	0	0	
0	1.1628	100	exon	8957	30350564	4324	48.28	12600559	41.52	1.1628	0	0	0	
0	1.4412	100	five_prime_UTR	8957	30350564	361	4.03	848766	2.80	1.4412	0	0	0	
0	1.1497	100	gene	8957	30350564	5428	60.60	15998341	52.71	1.1497	0	0	0	
0	1.0995	100	mRNA	8957	30350564	5702	63.66	17572723	57.90	1.0995	0	0	0	
0	0.0000	100	miRNA	8957	30350564	0	0.00	9336	0.03	0.0000	0	0	0	
0	0.0000	100	ncRNA	8957	30350564	0	0.00	183696	0.61	0.0000	0	0	0	
0	1.2536	100	open_chromatin_state_1	8957	30350564	1275	14.23	3446325	11.36	1.2536	0	0	0	
0	2.0929	100	open_chromatin_state_2	8957	30350564	1910	21.32	3092404	10.19	2.0929	0	0	0	
0	1.1439	100	open_chromatin_state_3	8957	30350564	1053	11.76	3119097	10.28	1.1439	0	0	0	
0	0.9309	100	open_chromatin_state_4	8957	30350564	1309	14.61	4764641	15.70	0.9309	0	0	0	
0	0.6904	100	open_chromatin_state_5	8957	30350564	900	10.05	4417500	14.55	0.6904	0	0	0	
0	0.9582	100	open_chromatin_state_6	8957	30350564	935	10.44	3306415	10.89	0.9582	0	0	0	
0	0.7249	100	open_chromatin_state_7	8957	30350564	669	7.47	3127281	10.30	0.7249	0	0	0	
0	0.9969	100	open_chromatin_state_8	8957	30350564	706	7.88	2399744	7.91	0.9969	0	0	0	
0	0.1266	100	open_chromatin_state_9	8957	30350564	100	1.12	2677100	8.82	0.1266	0	0	0	
0	1.0635	100	protein	8957	30350564	4267	47.64	13595512	44.79	1.0635	0	0	0	
0	0.0000	100	pseudogene	8957	30350564	0	0.00	225503	0.74	0.0000	0	0	0	
0	0.0000	100	pseudogenic_exon	8957	30350564	0	0.00	207487	0.68	0.0000	0	0	0	
0	0.0000	100	pseudogenic_transcript	8957	30350564	0	0.00	225503	0.74	0.0000	0	0	0	
0	0.7886	100	satellite	8957	30350564	443	4.95	1903479	6.27	0.7886	0	0	0	
0	0.0000	100	snRNA	8957	30350564	0	0.00	337	0.00	0.0000	0	0	0	
0	0.0000	100	snoRNA	8957	30350564	0	0.00	2174	0.01	0.0000	0	0	0	
0	5.7529	100	tRNA	8957	30350564	26	0.29	15314	0.05	5.7529	0	0	0	
0	1.8473	100	three_prime_UTR	8957	30350564	718	8.02	1317026	4.34	1.8473	0	0	0	
0	0.5152	100	transposable_element	8957	30350564	771	8.61	5070474	16.71	0.5152	0	0	0	
0	0.5986	100	transposable_element_gene	8957	30350564	300	3.35	1698110	5.59	0.5986	0	0	0	
0	0.4601	100	transposon_fragment	8957	30350564	671	7.49	4941706	16.28	0.4601	0	0	0	
